id,usefors,description,name,refId
"1687","","I know that the Bible is the inspired Word of God and that I should treat it with reverence.","RERC 0-12a","tcm:4-513639"
"1688","","I can share some Bible stories and I can explore how God speaks to us through these stories. I have reflected on how these stories can help me to live a Christian life.","RERC 1-11a","tcm:4-513635"
"1689","","I know that the Bible is the inspired Word of God and that I should treat it with reverence.","RERC 1-12a","tcm:4-513640"
"1690","","I have studied the structure of the Bible. I can identify the different parts of the Bible and I have explored God's message in these.","RERC 2-11a","tcm:4-513637"
"1691","","I know that the Bible is the inspired Word of God and that I should treat it with reverence.","RERC 2-12a","tcm:4-513645"
"1692","","To help me understand the message intended by the writers of the Biblical texts I have developed an awareness of literary forms in the Bible.","RERC 3-11a","tcm:4-513636"
"1693","","I can describe what I believe Biblical texts say about the way that God spoke to people in the past and how God speaks to people today.","RERC 3-12a","tcm:4-513641"
"1694","","I know that a good background understanding of the New Testament is important for living as a Christian today.","RERC 3-13a","tcm:4-513644"
"1695","","I have considered the belief that God speaks to us in Sacred Scripture and in Sacred Tradition as expressed in the ongoing life and teaching of the Church. I can describe how these have affected my own and others' understanding of the truth and meaning of life.","RERC 4-11a","tcm:4-513638"
"1696","","I can describe what I believe Biblical texts say about the way that God spoke to people in the past and how God speaks to people today.","RERC 4-12a","tcm:4-513642"
"1697","","I know that a good background understanding of the New Testament is important for living as a Christian today.","RERC 4-13a","tcm:4-513648"
"1698","","","Other world religions","tcm:4-513518"
"1699","","","Beliefs","tcm:4-513528"
"1700","","I am aware that the Jewish and/or Muslim communities believe in God.","RERC 1-25a","tcm:4-513799"
"1701","","I have explored some beliefs of the Jewish and/or Muslim communities.","RERC 2-25a","tcm:4-513798"
"1702","","I can describe how a sense of the sacred affects the everyday living of people of various faiths. I can also describe how my understanding of this has influenced my respect for the faith of others.","RERC 3-25a","tcm:4-513800"
"1703","","I have researched into the origins of the key beliefs of different world faiths. I can describe and evaluate different beliefs about human nature and destiny, the problems of evil and suffering, and life after death.","RERC 4-25a","tcm:4-513802"
"1704","","I can confidently express my own beliefs on these issues.","RERC 4-25b","tcm:4-513803"
"1705","","","Practices and traditions","tcm:4-513529"
"1706","","I can identify the places of worship of the Jewish and/or Muslim faith communities.","RERC 1-27a","tcm:4-513810"
"1707","","I know that the Jewish and/or Muslim communities have special books which are important to their beliefs.","RERC 1-27b","tcm:4-513816"
"1708","","I can share some of the key features and rituals associated with the Jewish and/or Muslim communities' places of worship and their festivals.","RERC 2-27a","tcm:4-513811"
"1709","","I can identify some of the customs and artefacts related to the Jewish and/or Muslim communities and their festivals.","RERC 2-27b","tcm:4-513817"
"1710","","I have researched the major ceremonies and customs of other world faiths. I can explain the significance of these to the followers of these beliefs.","RERC 3-27a","tcm:4-513813"
"1711","","I have explored how people of other world faiths practise their beliefs today. I can relate these to my own faith practice.","RERC 3-27b","tcm:4-513818"
"1712","","Through researching the traditions, practices and customs of major world religions, I have developed my understanding of them and my respect for people of other faiths.","RERC 4-27a","tcm:4-513815"
"1713","","I can describe the place of religious practice in Scotland and in the contemporary world at large.","RERC 4-27b","tcm:4-513821"
"1714","","","Values and issues","tcm:4-513527"
"1715","","I am aware of family and community values in the Jewish and/or Muslim faiths.","RERC 1-26a","tcm:4-513820"
"1716","","I can identify some of the principles by which people of the Jewish and/or Muslim faith communities live.","RERC 2-26a","tcm:4-513804"
"1717","","I have researched and I can describe the moral attitudes and values of the major world religions.","RERC 3-26a","tcm:4-513806"
"1718","","I can relate these to my own values.","RERC 3-26b","tcm:4-513807"
"1719","","I have researched into and I can identify the core values at the heart of the major world faiths.","RERC 4-26a","tcm:4-513812"
"1720","","I can describe how this has developed my awareness of the commonality of values across major world faiths. I can evaluate the importance these values hold for the good of the individual and stability of society.","RERC 4-26b","tcm:4-513808"
"1721","","","Expressive Arts","tcm:4-517467"
"1722","","","Art and design","tcm:4-517468"
"1723","","I have the freedom to discover and choose ways to create images and objects using a variety of materials.","EXA 0-02a","tcm:4-517718"
"1724","","I can create a range of visual information through observing and recording from my experiences across the curriculum.","EXA 0-04a","tcm:4-533089"
"1725","","Inspired by a range of stimuli, I can express and communicate my ideas, thoughts and feelings through activities within art and design.","EXA 0-05a","tcm:4-517725"
"1726","","Working on my own and with others, I use my curiosity and imagination to solve design problems.","EXA 0-06a","tcm:4-517734"
"1727","","I can respond to the work of artists and designers by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 0-07a","tcm:4-517744"
"1728","","I have the opportunity to choose and explore a range of media and technologies to create images and objects, discovering their effects and suitability for specific tasks.","EXA 1-02a","tcm:4-517716"
"1729","","I can create and present work using the visual elements of line, shape, form, colour, tone, pattern and texture.","EXA 1-03a","tcm:4-517721"
"1730","","I can create a range of visual information through observing and recording from my experiences across the curriculum.","EXA 1-04a","tcm:4-517730"
"1731","","Inspired by a range of stimuli, I can express and communicate my ideas, thoughts and feelings through activities within art and design.","EXA 1-05a","tcm:4-517726"
"1732","","I can use exploration and imagination to solve design problems related to real-life situations.","EXA 1-06a","tcm:4-517750"
"1733","","I can respond to the work of artists and designers by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 1-07a","tcm:4-517743"
"1734","","I have the opportunity to choose and explore an extended range of media and technologies to create images and objects, comparing and combining them for specific tasks.","EXA 2-02a","tcm:4-517714"
"1735","","I can create and present work that shows developing skill in using the visual elements and concepts.","EXA 2-03a","tcm:4-517722"
"1736","","Through observing and recording from my experiences across the curriculum, I can create images and objects which show my awareness and recognition of detail.","EXA 2-04a","tcm:4-517731"
"1737","","Inspired by a range of stimuli, I can express and communicate my ideas, thoughts and feelings through activities within art and design.","EXA 2-05a","tcm:4-517728"
"1738","","I can develop and communicate my ideas, demonstrating imagination and presenting at least one possible solution to a design problem.","EXA 2-06a","tcm:4-517735"
"1739","","I can respond to the work of artists and designers by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 2-07a","tcm:4-517745"
"1740","","I have experimented with a range of media and technologies to create images and objects, using my understanding of their properties.","EXA 3-02a","tcm:4-517717"
"1741","","I can use and combine the visual elements and concepts to convey ideas, thoughts and feelings in expressive and design work.","EXA 3-03a","tcm:4-517723"
"1742","","Through observing and recording, I can create material that shows accuracy of representation.","EXA 3-04a","tcm:4-517732"
"1743","","While working through a design process in response to a design brief, I can develop and communicate imaginative design solutions.","EXA 3-06a","tcm:4-517737"
"1744","","I can respond to the work of artists and designers by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 3-07a","tcm:4-517748"
"1745","","I have continued to experiment with a range of media and technologies, handling them with control and assurance to create images and objects. I can apply my understanding of the properties of media and of techniques to specific tasks.","EXA 4-02a","tcm:4-517719"
"1746","","I can use the visual elements and concepts with sensitivity to express qualities and relationships and convey information, thoughts and feelings. I can use my skills and creativity to generate original ideas in my expressive and design work.","EXA 4-03a","tcm:4-517760"
"1747","","Through creating a range of reference material, I can demonstrate my skills of observing and recording and apply them to work in other areas of the curriculum.","EXA 4-04a","tcm:4-517733"
"1748","","Having chosen personal themes and developed my own ideas from a range of stimuli, I can express and communicate my ideas, thoughts and feelings through 2D and 3D work.","EXA 4-05a","tcm:4-517729"
"1749","","By working through a design process in response to a design brief, I can develop and communicate imaginative and original design solutions.","EXA 4-06a","tcm:4-517738"
"1750","","I can analyse art and design techniques, processes and concepts, make informed judgements and express considered opinions on my own and others' work.","EXA 4-07a","tcm:4-517749"
"1751","","","Dance","tcm:4-517469"
"1752","","I have the opportunity and freedom to choose and explore ways that I can move rhythmically, expressively and playfully.","EXA 0-08a","tcm:4-517757"
"1753","","Inspired by a range of stimuli, I can express my ideas, thoughts and feelings through creative work in dance.","EXA 0-09a","tcm:4-517762"
"1754","","I have opportunities to enjoy taking part in dance experiences.","EXA 0-10a","tcm:4-517770"
"1755","","I can respond to the experience of dance by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 0-11a","tcm:4-517782"
"1756","","I enjoy creating short dance sequences, using travel, turn, jump, gesture, pause and fall, within safe practice.","EXA 1-08a","tcm:4-517758"
"1757","","Inspired by a range of stimuli, I can express my ideas, thoughts and feelings through creative work in dance.","EXA 1-09a","tcm:4-517761"
"1758","","I am becoming aware of different features of dance and can practise and perform steps, formations and short dance.","EXA 1-10a","tcm:4-517776"
"1759","","I can respond to the experience of dance by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 1-11a","tcm:4-517786"
"1760","","I can explore and choose movements to create and present dance, developing my skills and techniques.","EXA 2-08a","tcm:4-517759"
"1761","","Inspired by a range of stimuli, I can express my ideas, thoughts and feelings through creative work in dance.","EXA 2-09a","tcm:4-517763"
"1762","","I have taken part in dance from a range of styles and cultures, demonstrating my awareness of the dance features.","EXA 2-10a","tcm:4-517773"
"1763","","I can respond to the experience of dance by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 2-11a","tcm:4-517785"
"1764","","I have created and taken part in dance from a range of styles and cultures.","EXA 3-08a","tcm:4-535653"
"1765","","I can respond to the experience of dance by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 3-11a","tcm:4-517789"
"1766","","I can apply my performance skills to dance with accuracy, control, body awareness, sensitivity and movement flow. I can communicate my artistic intention and take account of different audience groups.","EXA 4-08a","tcm:4-517765"
"1767","","I can apply theatre arts technology to add excitement and drama to preformances.","EXA 4-08b","tcm:4-533099"
"1768","","I can select ideas from a range of stimuli to choreograph dance motifs in creative ways.","EXA 4-09a","tcm:4-517769"
"1769","","I can participate in dance styles and activities which challenge and extend my repertoire of movement and my knowledge of the styles and cultures of dance.","EXA 4-10a","tcm:4-517775"
"1770","","I can analyse technical aspects of dance, make informed judgments and express personal opinions on my own and others' work.","EXA 4-11a","tcm:4-517790"
"1771","","","Drama","tcm:4-517471"
"1772","","I have the freedom to choose and explore how I can use my voice, movement, and expression in role play and drama.","EXA 0-12a","tcm:4-517799"
"1773","","Inspired by a range of stimuli, I can express and communicate my ideas, thoughts and feelings through drama.","EXA 0-13a","tcm:4-517808"
"1774","","I use drama to explore real and imaginary situations, helping me to understand my world.","EXA 0-14a","tcm:4-517812"
"1775","","I can respond to the experience of drama by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 0-15a","tcm:4-517829"
"1776","","I enjoy creating, choosing and accepting roles, using movement, expression and voice.","EXA 1-12a","tcm:4-517801"
"1777","","Inspired by a range of stimuli, I can express and communicate my ideas, thoughts and feelings through drama.","EXA 1-13a","tcm:4-517809"
"1778","","I have developed confidence and skills in creating and presenting drama which explores real and imaginary situations, using improvisation and script.","EXA 1-14a","tcm:4-517815"
"1779","","I can respond to the experience of drama by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 1-15a","tcm:4-517825"
"1780","","I can create, adapt and sustain different roles, experimenting with movement, expression and voice and using theatre arts technology.","EXA 2-12a","tcm:4-517803"
"1781","","Inspired by a range of stimuli, I can express and communicate my ideas, thoughts and feelings through drama.","EXA 2-13a","tcm:4-517810"
"1782","","I have created and presented scripted or improvised drama, beginning to take account of audience and atmosphere.","EXA 2-14a","tcm:4-517813"
"1783","","I can respond to the experience of drama by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 2-15a","tcm:4-517826"
"1784","","I can create, develop and sustain a realistic or stylised character through the use of voice, movement and language.","EXA 3-12a","tcm:4-535822"
"1785","","Having developed ideas from a range of stimuli, I can contribute to devising, rehearsing and presenting drama or scripts.","EXA 3-14a","tcm:4-517816"
"1786","","I can respond to the experience of drama by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 3-15a","tcm:4-517832"
"1787","","I can demonstrate sensitivity, precision and depth in the portrayal of a character, conveying relationships and situations in a variety of settings and to different audiences.","EXA 4-12a","tcm:4-517807"
"1788","","In response to a variety of stimuli, I can use my understanding of characterisation to create characters using different approaches, making use of voice, movement and language. I can present my work to an audience.","EXA 4-13a","tcm:4-517814"
"1789","","Having had opportunities to lead negotiation and decision making, I can work on my own and with others to devise, rehearse and refine dramas and scripts.","EXA 4-14a","tcm:4-517817"
"1790","","I can use theatre arts technology to enhance tension, mood and atmosphere in drama work.","EXA 4-14b","tcm:4-517823"
"1791","","I can analyse technical aspects of drama and scripts, make informed judgments and express considered opinions on my own and others' work.","EXA 4-15a","tcm:4-548058"
"1792","","","Music","tcm:4-517472"
"1793","","I enjoy singing and playing along to music of different styles and cultures.","EXA 0-16a","tcm:4-517854"
"1794","","I have the freedom to use my voice, musical instruments and music technology to discover and enjoy playing with sound and rhythm.","EXA 0-17a","tcm:4-517844"
"1795","","Inspired by a range of stimuli, and working on my own and/or with others, I can express and communicate my ideas, thoughts and feelings through musical activities.","EXA 0-18a","tcm:4-517849"
"1796","","I can respond to music by describing my thoughts and feelings about my own and others' work.","EXA 0-19a","tcm:4-517922"
"1797","","I can sing and play music from other styles and cultures, showing growing confidence and skill while learning about musical notation and performance directions.","EXA 1-16a","tcm:4-517861"
"1798","","I can use my voice, musical instruments and music technology to discover and enjoy playing with sound, rhythm, pitch and dynamics.","EXA 1-17a","tcm:4-517843"
"1799","","Inspired by a range of stimuli, and working on my own and/or with others, I can express and communicate my ideas, thoughts and feelings through musical activities.","EXA 1-18a","tcm:4-517850"
"1800","","I have listened to a range of music and can respond by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 1-19a","tcm:4-517923"
"1801","","I can sing and play music from a range of styles and cultures, showing skill and using performance directions, and/or musical notation.","EXA 2-16a","tcm:4-517857"
"1802","","I can use my voice, musical instruments and music technology to experiment with sounds, pitch, melody, rhythm, timbre and dynamics.","EXA 2-17a","tcm:4-517845"
"1803","","Inspired by a range of stimuli, and working on my own and/or with others, I can express and communicate my ideas, thoughts and feelings through musical activities.","EXA 2-18a","tcm:4-517851"
"1804","","I have listened to a range of music and can respond by discussing my thoughts and feelings. I can give and accept constructive comment on my own and others' work.","EXA 2-19a","tcm:4-517924"
"1805","","I can sing and/or play music from a range of styles and cultures and perform my chosen music confidently using performance directions, musical notation and/or playing by ear.","EXA 3-16a","tcm:4-517860"
"1806","","I can use my voice, musical instruments or music technology to improvise or compose with melody, rhythm, harmony, timbre and structure.","EXA 3-17a","tcm:4-517847"
"1807","","I have listened to a range of music and can identify features and concepts. I can give constructive comments on my own and others' work, including the work of professionals.","EXA 3-19a","tcm:4-517928"
"1808","","I can give assured, expressive and imaginative performances of vocal and/or instrumental music from a wide range of styles and cultures, using performance directions, musical notation, and/or playing by ear.","EXA 4-16a","tcm:4-517858"
"1809","","I can use my chosen vocal and/or instrumental skills to improvise and compose, showing developing style and sophistication.","EXA 4-17a","tcm:4-517848"
"1810","","I can use music technology to compose, record and produce music and to enhance performance.","EXA 4-17b","tcm:4-517863"
"1811","","Having developed my ideas from a range of stimuli, I can create and present compositions using a broad range of musical concepts and ideas.","EXA 4-18a","tcm:4-517853"
"1812","","Having reflected on my personal experiences, including participation and engagement with professionals, I can listen to a wide range of music and identify and analyse technical aspects, make informed judgments and express personal opinions on my own and others' work.","EXA 4-19a","tcm:4-517929"
"1813","","","Participation in performances and presentations","tcm:4-540822"
"1814","","I have experienced the energy and excitement of presenting/performing for audiences and being part of an audience for other people's presentations/performances.","EXA 0-01a","tcm:4-517739"
"1815","","I have experienced the energy and excitement of presenting/performing for audiences and being part of an audience for other people's presentations/performances.","EXA 1-01a","tcm:4-517740"
"1816","","I have experienced the energy and excitement of presenting/performing for audiences and being part of an audience for other people's presentations/performances.","EXA 2-01a","tcm:4-517741"
"1817","","I have used the skills I have developed in the expressive arts to contribute to a public presentation/performance.","EXA 3-01a","tcm:4-517742"
"1818","","I have experienced the energy and excitement of being part of an audience for other people's presentations/ performances.","EXA 3-01b","tcm:4-533091"
"1819","","I have experienced the energy and excitement of presenting/performing for different audiences.","EXA 4-01a","tcm:4-517756"
"1820","","","Sciences","tcm:4-518458"
"1821","","","Biological systems","tcm:4-518460"
"1822","","","Body systems and cells","tcm:4-518466"
"1823","","I can identify my senses and use them to explore the world around me.","SCN 0-12a","tcm:4-518565"
"1824","","By researching, I can describe the position and function of the skeleton and major organs of the human body and discuss what I need to do to keep them healthy.","SCN 1-12a","tcm:4-518569"
"1825","","I have explored my senses and can discuss their reliability and limitations in responding to the environment.","SCN 1-12b","tcm:4-518576"
"1826","","I know the symptoms of some common diseases caused by germs. I can explain how they are spread and discuss how some methods of preventing and treating disease benefit society.","SCN 1-13a","tcm:4-518571"
"1827","","By investigating some body systems and potential problems which they may develop, I can make informed decisions to help me to maintain my health and wellbeing.","SCN 2-12a","tcm:4-518570"
"1828","","I have explored the structure and function of sensory organs to develop my understanding of body actions in response to outside conditions.","SCN 2-12b","tcm:4-518572"
"1829","","I have contributed to investigations into the role of microorganisms in producing and breaking down some materials.","SCN 2-13a","tcm:4-518573"
"1830","","I have explored the structure and function of organs and organ systems and can relate this to the basic biological processes required to sustain life.","SCN 3-12a","tcm:4-518575"
"1831","","I have explored the role of technology in monitoring health and improving the quality of life.","SCN 3-12b","tcm:4-531887"
"1832","","Using a microscope, I have developed my understanding of the structure and variety of cells and of their functions.","SCN 3-13a","tcm:4-518577"
"1833","","I have contributed to investigations into the different types of microorganisms and can explain how their growth can be controlled.","SCN 3-13b","tcm:4-518578"
"1834","","I have explored how the body defends itself against disease and can describe how vaccines can provide protection.","SCN 3-13c","tcm:4-518724"
"1835","","I can explain how biological actions which take place in response to external and internal changes work to maintain stable body conditions.","SCN 4-12a","tcm:4-518580"
"1836","","Through investigation, I can explain how changes in learned behaviour due to internal and external stimuli are of benefit to the survival of species.","SCN 4-12b","tcm:4-518581"
"1837","","By researching cell division, I can explain its role in growth and repair and can discuss how some cells can be used therapeutically.","SCN 4-13a","tcm:4-531890"
"1838","","I have taken part in practical activities which involve the use of enzymes and microorganisms to develop my understanding of their properties and their use in industries.","SCN 4-13b","tcm:4-518583"
"1839","","I can debate the moral and ethical issues associated with some controversial biological procedures.","SCN 4-13c","tcm:4-518584"
"1840","","","Inheritance","tcm:4-518468"
"1841","","By comparing generations of families of humans, plants and animals, I can begin to understand how characteristics are inherited.","SCN 1-14a","tcm:4-518726"
"1842","","By investigating the lifecycles of plants and animals, I can recognise the different stages of their development.","SCN 2-14a","tcm:4-518585"
"1843","","By exploring the characteristics offspring inherit when living things reproduce, I can distinguish between inherited and non-inherited characteristics.","SCN 2-14b","tcm:4-518586"
"1844","","I understand the processes of fertilisation and embryonic development and can discuss possible risks to the embryo.","SCN 3-14a","tcm:4-518594"
"1845","","I have extracted DNA and understand its function. I can express an informed view of the risks and benefits of DNA profiling.","SCN 3-14b","tcm:4-518589"
"1846","","Through investigation, I can compare and contrast how different organisms grow and develop.","SCN 4-14a","tcm:4-518590"
"1847","","Through evaluation of a range of data, I can compare sexual and asexual reproduction and explain their importance for survival of species.","SCN 4-14b","tcm:4-518591"
"1848","","I can use my understanding of how characteristics are inherited to solve simple genetic problems and relate this to my understanding of DNA, genes and chromosomes.","SCN 4-14c","tcm:4-518593"
"1849","","","Forces, electricity and waves","tcm:4-518459"
"1850","","","Electricity","tcm:4-518465"
"1851","","I know how to stay safe when using electricity. I have helped to make a display to show the importance of electricity in our daily lives.","SCN 0-09a","tcm:4-518518"
"1852","","I can describe an electrical circuit as a continuous loop of conducting materials. I can combine simple components in a series circuit to make a game or model.","SCN 1-09a","tcm:4-518519"
"1853","","I have used a range of electrical components to help to make a variety of circuits for differing purposes. I can represent my circuit using symbols and describe the transfer of energy around the circuit.","SCN 2-09a","tcm:4-518525"
"1854","","To begin to understand how batteries work, I can help to build simple chemical cells using readily-available materials which can be used to make an appliance work.","SCN 2-10a","tcm:4-518521"
"1855","","Having measured the current and voltage in series and parallel circuits, I can design a circuit to show the advantages of parallel circuits in an everyday application.","SCN 3-09a","tcm:4-518522"
"1856","","I can help to design simple chemical cells and use them to investigate the factors which affect the voltage produced.","SCN 3-10a","tcm:4-518523"
"1857","","Through investigation, I understand the relationship between current, voltage and resistance. I can apply this knowledge to solve practical problems.","SCN 4-09a","tcm:4-518528"
"1858","","By contributing to investigations into the properties of a range of electronic components, I can select and use them as input and output devices in practical electronic circuits.","SCN 4-09b","tcm:4-518526"
"1859","","Using my knowledge of electronic components and switching devices, I can help to engineer an electronic system to provide a practical solution to a real-life situation.","SCN 4-09c","tcm:4-518530"
"1860","","Using experimental evidence, I can place metals in an electrochemical series and can use this information to make predictions about their use in chemical cells.","SCN 4-10a","tcm:4-518531"
"1861","","Using a variety of sources, I have explored the latest developments in chemical cells technology and can evaluate their impact on society.","SCN 4-10b","tcm:4-518587"
"1862","","","Forces","tcm:4-518473"
"1863","","Through everyday experiences and play with a variety of toys and other objects, I can recognise simple types of forces and describe their effects.","SCN 0-07a","tcm:4-518542"
"1864","","By investigating forces on toys and other objects, I can predict the effect on the shape or motion of objects.","SCN 1-07a","tcm:4-518543"
"1865","","By exploring the forces exerted by magnets on other magnets and magnetic materials, I can contribute to the design of a game.","SCN 1-08a","tcm:4-518545"
"1866","","By investigating how friction, including air resistance, affects motion, I can suggest ways to improve efficiency in moving objects.","SCN 2-07a","tcm:4-518546"
"1867","","I have collaborated in investigations to compare magnetic, electrostatic and gravitational forces and have explored their practical applications.","SCN 2-08a","tcm:4-518547"
"1868","","By investigating floating and sinking of objects in water, I can apply my understanding of buoyancy to solve a practical challenge.","SCN 2-08b","tcm:4-518548"
"1869","","By contributing to investigations of energy loss due to friction, I can suggest ways of improving the efficiency of moving systems.","SCN 3-07a","tcm:4-518549"
"1870","","I have collaborated in investigations into the effects of gravity on objects and I can predict what might happen to their weight in different situations on Earth and in space.","SCN 3-08a","tcm:4-531880"
"1871","","I can use appropriate methods to measure, calculate and display graphically the speed of an object, and show how these methods can be used in a selected application.","SCN 4-07a","tcm:4-518550"
"1872","","By making accurate measurements of speed and acceleration, I can relate the motion of an object to the forces acting on it and apply this knowledge to transport safety.","SCN 4-07b","tcm:4-518553"
"1873","","I can help to design and carry out investigations into the strength of magnets and electromagnets. From investigations, I can compare the properties, uses and commercial applications of electromagnets and supermagnets.","SCN 4-08a","tcm:4-518554"
"1874","","Through experimentation, I can explain floating and sinking in terms of the relative densities of different materials.","SCN 4-08b","tcm:4-531883"
"1875","","","Vibrations and waves","tcm:4-518467"
"1876","","Through play, I have explored a variety of ways of making sounds.","SCN 0-11a","tcm:4-518557"
"1877","","By collaborating in experiments on different ways of producing sound from vibrations, I can demonstrate how to change the pitch of the sound.","SCN 1-11a","tcm:4-518558"
"1878","","Through research on how animals communicate, I can explain how sound vibrations are carried by waves through air, water and other media.","SCN 2-11a","tcm:4-518559"
"1879","","By exploring reflections, the formation of shadows and the mixing of coloured lights, I can use my knowledge of the properties of light to show how it can be used in a creative way.","SCN 2-11b","tcm:4-518561"
"1880","","By exploring the refraction of light when passed through different materials, lenses and prisms, I can explain how light can be used in a variety of applications.","SCN 3-11a","tcm:4-518562"
"1881","","By exploring radiations beyond the visible, I can describe a selected application, discussing the advantages and limitations.","SCN 3-11b","tcm:4-518567"
"1882","","By recording and analysing sound signals, I can describe how they can be manipulated and used in sound engineering.","SCN 4-11a","tcm:4-518563"
"1883","","By carrying out a comparison of the properties of parts of the electromagnetic spectrum beyond the visible, I can explain the use of radiation and discuss how this has impacted upon society and our quality of life.","SCN 4-11b","tcm:4-518566"
"1884","","","Materials","tcm:4-518461"
"1885","","","Chemical changes","tcm:4-518471"
"1886","","I have investigated different water samples from the environment and explored methods that can be used to clean and conserve water and I am aware of the properties and uses of water.","SCN 2-18a","tcm:4-518723"
"1887","","I have collaborated in activities which safely demonstrate simple chemical reactions using everyday chemicals. I can show an appreciation of a chemical reaction as being a change in which different materials are made.","SCN 2-19a","tcm:4-518610"
"1888","","Having taken part in practical activities to compare the properties of acids and bases, I have demonstrated ways of measuring and adjusting pH and can describe the significance of pH in everyday life.","SCN 3-18a","tcm:4-518613"
"1889","","Through experimentation, I can identify indicators of chemical reactions having occurred. I can describe ways of controlling the rate of reactions and can relate my findings to the world around me.","SCN 3-19a","tcm:4-518616"
"1890","","I have helped to design and carry out practical activities to develop my understanding of chemical reactions involving the Earth's materials. I can explain how we apply knowledge of these reactions in practical ways.","SCN 3-19b","tcm:4-518614"
"1891","","I can monitor the environment by collecting and analysing samples. I can interpret the results to inform others about levels of pollution and express a considered opinion on how science can help to protect our environment.","SCN 4-18a","tcm:4-518617"
"1892","","I can collect and analyse experimental data on chemical reactions that result in an obvious change in energy. I can apply my findings to explain the significance of the energy changes associated with chemical reactions.","SCN 4-19a","tcm:4-518619"
"1893","","Having carried out a range of experiments using different chemicals, I can place metals in an order of reactivity, and relate my findings to their everyday uses.","SCN 4-19b","tcm:4-518621"
"1894","","","Earth's materials","tcm:4-533863"
"1895","","Having explored the substances that make up Earth's surface, I can compare some of their characteristics and uses.","SCN 2-17a","tcm:4-531849"
"1896","","Through evaluation of a range of data, I can describe the formation, characteristics and uses of soils, minerals and basic types of rocks.","SCN 3-17a","tcm:4-531854"
"1897","","I can participate in practical activities to extract useful substances from natural resources.","SCN 3-17b","tcm:4-531861"
"1898","","I have explored how different materials can be derived from crude oil and their uses. I can explain the importance of carbon compounds in our lives.","SCN 4-17a","tcm:4-531863"
"1899","","","Properties and uses of substances","tcm:4-518470"
"1900","","Through creative play, I explore different materials and can share my reasoning for selecting materials for different purposes.","SCN 0-15a","tcm:4-518595"
"1901","","Through exploring properties and sources of materials, I can choose appropriate materials to solve practical challenges.","SCN 1-15a","tcm:4-518597"
"1902","","I can make and test predictions about solids dissolving in water and can relate my findings to the world around me.","SCN 1-16a","tcm:4-531875"
"1903","","By contributing to investigations into familiar changes in substances to produce other substances, I can describe how their characteristics have changed.","SCN 2-15a","tcm:4-518598"
"1904","","I have participated in practical activities to separate simple mixtures of substances and can relate my findings to my everyday experience.","SCN 2-16a","tcm:4-518599"
"1905","","By investigating common conditions that increase the amount of substance that will dissolve or the speed of dissolving, I can relate my findings to the world around me.","SCN 2-16b","tcm:4-518600"
"1906","","I have developed my knowledge of the Periodic Table by considering the properties and uses of a variety of elements relative to their positions.","SCN 3-15a","tcm:4-518601"
"1907","","Having contributed to a variety of practical activities to make and break down compounds, I can describe examples of how the properties of compounds are different from their constituent elements.","SCN 3-15b","tcm:4-531868"
"1908","","I can differentiate between pure substances and mixtures in common use and can select appropriate physical methods for separating mixtures into their components.","SCN 3-16a","tcm:4-518602"
"1909","","I have taken part in practical investigations into solubility using different solvents and can apply what I have learned to solve everyday practical problems.","SCN 3-16b","tcm:4-518603"
"1910","","Through gaining an understanding of the structure of atoms and how they join, I can begin to connect the properties of substances with their possible structures.","SCN 4-15a","tcm:4-518605"
"1911","","I have carried out research into novel materials and can begin to explain the scientific basis of their properties and discuss the possible impacts they may have on society.","SCN 4-16a","tcm:4-518606"
"1912","","Through evaluation of experimental results, I can demonstrate my understanding of conservation of mass.","SCN 4-16b","tcm:4-518608"
"1913","","","Planet Earth","tcm:4-518457"
"1914","","","Biodiversity and interdependence","tcm:4-518463"
"1915","","I have observed living things in the environment over time and am becoming aware of how they depend on each other.","SCN 0-01a","tcm:4-518492"
"1916","","I have helped to grow plants and can name their basic parts. I can talk about how they grow and what I need to do to look after them.","SCN 0-03a","tcm:4-518527"
"1917","","I can distinguish between living and non living things. I can sort living things into groups and explain my decisions.","SCN 1-01a","tcm:4-518491"
"1918","","I can explore examples of food chains and show an appreciation of how animals and plants depend on each other for food.","SCN 1-02a","tcm:4-518498"
"1919","","I can help to design experiments to find out what plants need in order to grow and develop. I can observe and record my findings and from what I have learned I can grow healthy plants in school.","SCN 1-03a","tcm:4-518502"
"1920","","I can identify and classify examples of living things, past and present, to help me appreciate their diversity. I can relate physical and behavioural characteristics to their survival or extinction.","SCN 2-01a","tcm:4-518493"
