course_id,crb,programme_owner,programme_identifier,programme_owner_identifier,title,level,credits,subject_1,subject_2,description,target,approval_date,review_date,private,archived
23732,SQA Awarding Body,SQA Awarding Body,GG0F46,SQA/AB,National Progression Award Professional Computer Fundamentals,6,,Computing,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23731,SQA Awarding Body,SQA Awarding Body,GG0G46,SQA/AB,National Progression Award Health and Social Care: Promoting Reablement,6,,Health and Social Care,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23730,SQA Awarding Body,SQA Awarding Body,GG0H46,SQA/AB,National Progression Award Mobile Technology,6,,Computing,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23729,SQA Awarding Body,SQA Awarding Body,GG0L46,SQA/AB,National Certificate Architecture and Interior Design,6,72,Creative Industries,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23728,SQA Awarding Body,SQA Awarding Body,GG0M46,SQA/AB,National Certificate Architecture and Art,6,72,Creative Industries,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23727,SQA Awarding Body,SQA Awarding Body,GG1746,SQA/AB,"National (Workplace) Certificate in Environmental Technology Systems (Installation, Service and Maintenance)",6,,Land Based Industries,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,17/03/2010,30/06/2013,0,0
23726,SQA Awarding Body,SQA Awarding Body,G9JG47,SQA/AB,Professional Development Award Scottish Bagpipes,7,18,Creative Industries,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23725,SQA Awarding Body,SQA Awarding Body,G9R247,SQA/AB,Professional Development Award Roof Slating and Tiling,7,56,Construction,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2010,01/01/1970,0,0
23724,SQA Awarding Body,SQA Awarding Body,G9R347,SQA/AB,Professional Development Award Wall and Floor Tiling,7,48,Construction,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2010,01/01/1970,0,0
23723,SQA Awarding Body,SQA Awarding Body,G9R447,SQA/AB,Professional Development Award Woodmachining,7,64,Construction,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2010,01/01/1970,0,0
23722,SQA Awarding Body,SQA Awarding Body,GE4V47,SQA/AB,Professional Development Award Promoting Excellence in Dementia Skilled Practice,7,24,Health and Social Care,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23721,SQA Awarding Body,SQA Awarding Body,GE7D47,SQA/AB,Professional Development Award Assessment and Supply of Individual Patients' Medicines,7,35,Health and Social Care,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23720,SQA Awarding Body,SQA Awarding Body,GE7R47,SQA/AB,Professional Development Award Brief Interventions for Substance Misuse,7,32,Health and Social Care,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23719,SQA Awarding Body,SQA Awarding Body,GE9W47,SQA/AB,The Scottish Baccalaureate Social Sciences,7,104,Social Science,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23718,SQA Awarding Body,SQA Awarding Body,GE9X47,SQA/AB,The Scottish Baccalaureate Expressive Arts,7,104,Creative Industries,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23717,SQA Awarding Body,SQA Awarding Body,GF9447,SQA/AB,Professional Development Award Podiatry Support,7,52,Health and Social Care,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23716,SQA Awarding Body,SQA Awarding Body,GG1K47,SQA/AB,National (Workplace) Diploma in Waste Management Operations: Managing Physical and Chemical Treatment - Hazardous Waste,7,,Engineering,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,19/09/2012,31/07/2021,0,0
23715,SQA Awarding Body,SQA Awarding Body,GG1L47,SQA/AB,National (Workplace) Diploma in Waste Management Operations: Managing Transfer - Hazardous Waste,7,106,Engineering,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,19/09/2012,31/07/2021,0,0
23714,SQA Awarding Body,SQA Awarding Body,GG1M47,SQA/AB,National (Workplace) Diploma in Waste Management Operations: Managing Physical and Chemical Treatment - Non-Hazardous Waste,7,98,Engineering,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,19/09/2012,31/07/2021,0,0
23713,SQA Awarding Body,SQA Awarding Body,G8KA48,SQA,Professional Development Award Systems Engineering,8,54,Computing,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2007,01/01/1970,0,0
23712,SQA Awarding Body,SQA Awarding Body,G8L748,SQA/AB,Professional Development Award Office Management and Information Technology,8,54,Business and Administration,Computing,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2007,31/07/2014,0,0
23711,SQA Awarding Body,SQA Awarding Body,G8W648,SQA/AB,Professional Development Award Addiction Counselling,8,24,Health and Social Care,Counselling,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2007,01/01/1970,0,0
23710,SQA Awarding Body,SQA Awarding Body,G8XY48,SQA/AB,Professional Development Award Administrative Management,8,48,Business and Administration,Management,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
23709,SQA Awarding Body,SQA Awarding Body,G8YW48,SQA/AB,Professional Development Award E-Learning,8,24,Education,Computing,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2007,01/01/1970,0,0
23708,SQA Awarding Body,SQA Awarding Body,G91748,SQA/AB,Professional Development Award Volunteering Management,8,24,Management,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
23707,SQA Awarding Body,SQA Awarding Body,G95V48,SQA/AB,Professional Development Award Debt Recovery,8,48,Finance,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
23706,SQA Awarding Body,SQA Awarding Body,G96H48,SQA/AB,Professional Development Award Childhood Practice,8,64,Health and Social Care,Public Services,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
23705,SQA Awarding Body,SQA Awarding Body,G96N48,SQA/AB,Professional Development Award Healthcare Professionals: Facilitating Learning Training and Assessment in the Workplace,8,24,Health and Social Care,Education,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
23704,SQA Awarding Body,SQA Awarding Body,G9DC48,SQA/AB,Professional Development Award Internally Verify the Assessment Process,8,8,Education,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,31/07/2014,0,0
23703,SQA Awarding Body,SQA Awarding Body,G9F548,SQA/AB,Professional Development Award Fine Art Textiles,8,24,Creative Industries,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23702,SQA Awarding Body,SQA Awarding Body,G9F848,SQA/AB,Professional Development Award Textile Accessories,8,32,Other,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23701,SQA Awarding Body,SQA Awarding Body,G9GN48,SQA/AB,Professional Development Award Tailoring Techniques,8,24,Other,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23700,SQA Awarding Body,SQA Awarding Body,G9GP48,SQA/AB,Professional Development Award Design and Production: Fashion Collection,8,32,Manufacturing and Distribution,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23699,SQA Awarding Body,SQA Awarding Body,G9GR48,SQA/AB,Professional Development Award Design and Production: Occasion Wear,8,32,Manufacturing and Distribution,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23698,SQA Awarding Body,SQA Awarding Body,G9H148,SQA/AB,Professional Development Award Complex Pattern Production Skills,8,24,Manufacturing and Distribution,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23697,SQA Awarding Body,SQA Awarding Body,G9JH48,SQA/AB,Professional Development Award Scottish Bagpipes,8,18,Creative Industries,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23696,SQA Awarding Body,SQA Awarding Body,G9LE48,SQA/AB,Professional Development Award Applications of ICT in Libraries,8,32,Computing,Public Services,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23695,SQA Awarding Body,SQA Awarding Body,G9MN48,SQA/AB,Professional Development Award Leadership,8,20,Management,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23694,SQA Awarding Body,SQA Awarding Body,G9N248,SQA/AB,Professional Development Award Managing Finances,8,25,Management,Finance,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23693,SQA Awarding Body,SQA Awarding Body,G9N548,SQA/AB,Professional Development Award Managing Self and the Work of Others,8,22,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,31/05/2014,0,0
23692,SQA Awarding Body,SQA Awarding Body,G9YM48,SQA/AB,Professional Development Award Technology Enhanced Learning and Teaching,8,32,Education,Computing,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2010,01/01/1970,0,0
23691,SQA Awarding Body,SQA Awarding Body,G9YW48,SQA/AB,Professional Development Award Online Protection and Safeguarding of Children,8,16,Health and Social Care,Public Services,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2010,01/01/1970,0,0
23690,SQA Awarding Body,SQA Awarding Body,GA1048,SQA/AB,Professional Development Award Office Management and Information Technology,8,64,Management,Computing,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2010,01/01/1970,0,0
23689,SQA Awarding Body,SQA Awarding Body,GA7V48,SQA/AB,Professional Development Award Customer Service within a Public Sector Organisation,8,32,Public Services,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2010,01/01/1970,0,0
23688,SQA Awarding Body,SQA Awarding Body,GC8W48,SQA/AB,Professional Development Award Radiographic Imaging,8,16,Health and Social Care,Public Services,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23687,SQA Awarding Body,SQA Awarding Body,GC8X48,SQA/AB,Professional Development Award Gaelic Media,8,,Creative Industries,Computing,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23686,SQA Awarding Body,SQA Awarding Body,GD2148,SQA/AB,Professional Development Award Commercial Conveyancing and Leasing,8,48,Public Services,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23685,SQA Awarding Body,SQA Awarding Body,GD2248,SQA/AB,Professional Development Award Employment Law,8,40,Public Services,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23684,SQA Awarding Body,SQA Awarding Body,GD3K48,SQA/AB,Professional Development Award Family Law,8,40,Public Services,Other,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23683,SQA Awarding Body,SQA Awarding Body,GD3L48,SQA/AB,Professional Development Award Law and Practice Relating to Adults with Incapacity,8,32,Health and Social Care,Public Services,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23682,SQA Awarding Body,SQA Awarding Body,GD5X48,SQA/AB,Professional Development Award Tutoring Adult Literacies,8,30,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23681,SQA Awarding Body,SQA Awarding Body,GD7R48,SQA/AB,Professional Development Award Health and Social Care: Personalisation in Practice,8,24,Health and Social Care,Public Services,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23680,SQA Awarding Body,SQA Awarding Body,GD8C48,SQA/AB,Professional Development Award Accommodation Management,8,40,Management,Public Services,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23679,SQA Awarding Body,SQA Awarding Body,GE6948,SQA/AB,Professional Development Award Children and Young People's Health and Wellbeing,8,60,Health and Social Care,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23678,SQA Awarding Body,SQA Awarding Body,GE6Y48,SQA/AB,Professional Development Award British Sign Language Studies,8,48,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23677,SQA Awarding Body,SQA Awarding Body,GF3948,SQA/AB,Professional Development Award Occupational Therapy Support,8,32,Health and Social Care,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23676,SQA Awarding Body,SQA Awarding Body,GF6G48,SQA/AB,Professional Development Award Management and Leadership,8,144,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23675,SQA Awarding Body,SQA Awarding Body,GF8D48,SQA/AB,Professional Development Award Supported Employment Advanced Practice,8,32,Personal Development,,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23674,SQA Awarding Body,SQA Awarding Body,GF8P48,SQA/AB,Professional Development Award Conduct the Assessment Process,8,8,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23673,SQA Awarding Body,SQA Awarding Body,GF8R48,SQA/AB,Professional Development Award Conduct the Internal Verification Process,8,8,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23672,SQA Awarding Body,SQA Awarding Body,GF9348,SQA/AB,Professional Development Award Strategic Management,8,16,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2012,01/01/1970,0,0
23671,SQA Awarding Body,SQA Awarding Body,G8G949,SQA/AB,Professional Development Award Bilingual Teaching: (For Lecturers) Advanced,9,,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23670,SQA Awarding Body,SQA Awarding Body,G8GA49,SQA/AB,Professional Development Award Bilingual Teaching (For Lecturers): An Introduction,9,,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23669,SQA Awarding Body,SQA Awarding Body,G8GC49,SQA/AB,Professional Development Award Inclusiveness: Facilitating Strategies to Support Learners with Additional Needs,9,24,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23668,SQA Awarding Body,SQA Awarding Body,G8JN49,SQA/AB,Professional Development Award Inclusiveness: Promoting Equality and Diversity within the Learning Environment,9,16,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23667,SQA Awarding Body,SQA Awarding Body,G8LE49,SQA/AB,Professional Development Award Marine Management,9,,Management,Land Based Industries,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23666,SQA Awarding Body,SQA Awarding Body,G8XR49,SQA/AB,Professional Development Award Police Service Leadership and Management,9,120,Public Services,Management,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2007,31/07/2016,0,0
23665,SQA Awarding Body,SQA Awarding Body,G9CL49,SQA/AB,Professional Development Award Strategic Management,9,16,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,31/07/2015,0,0
23664,SQA Awarding Body,SQA Awarding Body,G9CM49,SQA/AB,Professional Development Award Decision Making and Innovation,9,24,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23663,SQA Awarding Body,SQA Awarding Body,G9CV49,SQA/AB,Professional Development Award Organisational Leadership,9,24,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23662,SQA Awarding Body,SQA Awarding Body,G9L749,SQA/AB,Professional Development Award Externally Verify the Assessment Process,9,8,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23661,SQA Awarding Body,SQA Awarding Body,G9LW49,SQA/AB,Professional Development Award Resilience Management,9,104,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23660,SQA Awarding Body,SQA Awarding Body,G9MG49,SQA/AB,Professional Development Award Advanced Graphic Design,9,,Creative Industries,Computing,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23659,SQA Awarding Body,SQA Awarding Body,G9MH49,SQA/AB,Professional Development Award Advanced Illustration and Animation,9,,Creative Industries,Computing,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23658,SQA Awarding Body,SQA Awarding Body,G9MK49,SQA/AB,Professional Development Award Advanced New Media and Animation,9,,Creative Industries,Computing,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23657,SQA Awarding Body,SQA Awarding Body,G9N349,SQA/AB,Professional Development Award Managing Projects and Business Processes,9,26,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23656,SQA Awarding Body,SQA Awarding Body,G9T249,SQA/AB,Professional Development Award Leadership and Management for Care Services,9,64,Management,Health and Social Care,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23655,SQA Awarding Body,SQA Awarding Body,G8K750,SQA/AB,Professional Development Award Practice Learning,10,64,Health and Social Care,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2007,01/01/1970,0,0
23654,SQA Awarding Body,SQA Awarding Body,G8K850,SQA/AB,Professional Development Award Practice Learning (Social Services),10,64,Health and Social Care,Public Services,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2007,01/01/1970,0,0
23653,SQA Awarding Body,SQA Awarding Body,G9MF50,SQA/AB,Professional Development Award Planning and Implementing Change,10,26,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,31/05/2014,0,0
23652,SQA Awarding Body,SQA Awarding Body,G9N150,SQA/AB,Professional Development Award Leading Change,10,,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,31/05/2014,0,0
23651,SQA Awarding Body,SQA Awarding Body,GC3D50,SQA/AB,Professional Development Award Applied Practitioner Studies in TESOL,10,32,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2010,01/01/1970,0,0
23650,SQA Awarding Body,SQA Awarding Body,GD5L50,SQA/AB,Professional Development Award Children's Reporter Practice,10,,Health and Social Care,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23649,SQA Awarding Body,SQA Awarding Body,G9M951,SQA/AB,Professional Development Award Organisational Ethics and Decision Making,11,32,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23648,SQA Awarding Body,SQA Awarding Body,GC8V51,SQA/AB,Professional Development Award Strategic Leadership,11,24,Management,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/07/2011,01/01/1970,0,0
23647,SQA Awarding Body,SQA Awarding Body,C24009,SQA/AB,Skills for Work Practical Experiences: Construction and Engineering,3,24,Construction,Engineering,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23646,SQA Awarding Body,SQA Awarding Body,C21810,SQA/AB,Skills for Work Construction Crafts,4,24,Construction,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2005,01/01/1970,0,0
23645,SQA Awarding Body,SQA Awarding Body,C21910,SQA/AB,Skills for Work Sport and Recreation,4,24,Sport and Leisure,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2005,01/01/1970,0,0
23644,SQA Awarding Body,SQA Awarding Body,C22110,SQA/AB,Skills for Work Early Education and Childcare,4,24,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2005,01/01/1970,0,0
23643,SQA Awarding Body,SQA Awarding Body,C23810,SQA/AB,Skills for Work Hairdressing,4,24,Personal Services,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23642,SQA Awarding Body,SQA Awarding Body,C23910,SQA/AB,Skills for Work Rural Skills,4,24,Land Based Industries,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23641,SQA Awarding Body,SQA Awarding Body,C24310,SQA/AB,Skills for Work Engineering Skills,4,24,Engineering,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2007,01/01/1970,0,0
23640,SQA Awarding Body,SQA Awarding Body,C24410,SQA/AB,Skills for Work Hospitality,4,24,Hospitality and Tourism,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2007,01/01/1970,0,0
23639,SQA Awarding Body,SQA Awarding Body,C25110,SQA/AB,Skills for Work Uniformed and Emergency Services,4,24,Public Services,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
23638,SQA Awarding Body,SQA Awarding Body,C26110,SQA/AB,Skills for Work Health Sector,4,24,Health and Social Care,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23637,SQA Awarding Body,SQA Awarding Body,C26410,SQA/AB,Skills for Work Creative Digital Media,4,24,Creative Industries,Computing,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2009,01/01/1970,0,0
23636,SQA Awarding Body,SQA Awarding Body,C27110,SQA/AB,Skills for Work Automotive Skills,4,24,Engineering,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2010,01/01/1970,0,0
23635,SQA Awarding Body,SQA Awarding Body,C27810,SQA/AB,Skills for Work Building Services Engineering,4,24,Engineering,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2011,01/01/1970,0,0
23634,SQA Awarding Body,SQA Awarding Body,C21811,SQA/AB,Skills for Work Construction Crafts,5,24,Construction,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23633,SQA Awarding Body,SQA Awarding Body,C21911,SQA/AB,Skills for Work Sport and Recreation,5,24,Sport and Leisure,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2006,01/01/1970,0,0
23632,SQA Awarding Body,SQA Awarding Body,C22011,SQA/AB,Skills for Work Financial Services,5,24,Finance,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2005,01/01/1970,0,0
23631,SQA Awarding Body,SQA Awarding Body,C24611,SQA/AB,Skills for Work Early Education and Childcare,5,24,Education,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2007,01/01/1970,0,0
23630,SQA Awarding Body,SQA Awarding Body,C24911,SQA/AB,Skills for Work Retailing,5,24,Retail,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
23629,SQA Awarding Body,SQA Awarding Body,C25211,SQA/AB,Skills for Work Hairdressing,5,24,Personal Services,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
23628,SQA Awarding Body,SQA Awarding Body,C25311,SQA/AB,Skills for Work Engineering Skills,5,24,Engineering,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
23627,SQA Awarding Body,SQA Awarding Body,C25811,SQA/AB,Skills for Work Energy,5,24,Energy,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
23626,SQA Awarding Body,SQA Awarding Body,C26011,SQA/AB,Skills for Work Hospitality,5,24,Hospitality and Tourism,Personal Development,For more info please visit SQA website www.sqa.org.uk,For more information please visit the SQA website  www.sqa.org.uk,01/08/2008,01/01/1970,0,0
